task_code,project_code,engagement_type,client_alias,project_name,assignee_alias,assignee_role,priority,status,due_date,is_overdue,dependency,title,detail,last_progress
PRJ-07-T04,PRJ-07,Proyecto,Velora Credit,Credit Assistant,Camila Torres,Delivery,Alta,En revision,2026-07-16,No,Plan next delivery iteration,Functional validation and release checklist - Credit Assistant,"Core build exists, but edge cases still need validation before closing the front.","Core build exists, but edge cases still need validation before closing the front."
PRJ-08-T01,PRJ-08,Proyecto,Vector Partners,Messaging Qualification Engine,Camila Torres,Delivery,Alta,En progreso,2026-07-12,Si,,Plan next delivery iteration - Messaging Qualification Engine,Next iteration is being scoped with deliverables and owners.,Next iteration is being scoped with deliverables and owners.
PRJ-08-T02,PRJ-08,Proyecto,Vector Partners,Messaging Qualification Engine,Camila Torres,Delivery,Critica,Por hacer,2026-07-10,Si,Functional validation and release checklist,Resolve priority issue in pilot or production - Messaging Qualification Engine,There is a user-visible issue affecting trust or adoption.,There is a user-visible issue affecting trust or adoption.
PRJ-08-T03,PRJ-08,Proyecto,Vector Partners,Messaging Qualification Engine,Camila Torres,Delivery,Media,Bloqueada,2026-07-14,No,Resolve priority issue in pilot or production,Align external dependency with client or vendor - Messaging Qualification Engine,"Waiting on client response, credentials, external API or business definition.","Waiting on client response, credentials, external API or business definition."
PRJ-08-T04,PRJ-08,Proyecto,Vector Partners,Messaging Qualification Engine,Camila Torres,Delivery,Alta,En revision,2026-07-16,No,Plan next delivery iteration,Functional validation and release checklist - Messaging Qualification Engine,"Core build exists, but edge cases still need validation before closing the front.","Core build exists, but edge cases still need validation before closing the front."
PRJ-09-T01,PRJ-09,Proyecto,Ferroline Industrial,Industrial OCR Quoter,Camila Torres,Delivery,Alta,En progreso,2026-07-12,Si,,Plan next delivery iteration - Industrial OCR Quoter,Next iteration is being scoped with deliverables and owners.,Next iteration is being scoped with deliverables and owners.
PRJ-09-T02,PRJ-09,Proyecto,Ferroline Industrial,Industrial OCR Quoter,Camila Torres,Delivery,Critica,Por hacer,2026-07-10,Si,Functional validation and release checklist,Resolve priority issue in pilot or production - Industrial OCR Quoter,There is a user-visible issue affecting trust or adoption.,There is a user-visible issue affecting trust or adoption.
PRJ-09-T03,PRJ-09,Proyecto,Ferroline Industrial,Industrial OCR Quoter,Camila Torres,Delivery,Media,Bloqueada,2026-07-14,No,Resolve priority issue in pilot or production,Align external dependency with client or vendor - Industrial OCR Quoter,"Waiting on client response, credentials, external API or business definition.","Waiting on client response, credentials, external API or business definition."
PRJ-09-T04,PRJ-09,Proyecto,Ferroline Industrial,Industrial OCR Quoter,Camila Torres,Delivery,Alta,En revision,2026-07-16,No,Plan next delivery iteration,Functional validation and release checklist - Industrial OCR Quoter,"Core build exists, but edge cases still need validation before closing the front.","Core build exists, but edge cases still need validation before closing the front."
PRJ-10-T01,PRJ-10,Proyecto,Pulse Creative,Commercial Image Pipeline,Camila Torres,Delivery,Alta,En progreso,2026-07-12,Si,,Plan next delivery iteration - Commercial Image Pipeline,Next iteration is being scoped with deliverables and owners.,Next iteration is being scoped with deliverables and owners.
PRJ-10-T02,PRJ-10,Proyecto,Pulse Creative,Commercial Image Pipeline,Camila Torres,Delivery,Critica,Por hacer,2026-07-10,Si,Functional validation and release checklist,Resolve priority issue in pilot or production - Commercial Image Pipeline,There is a user-visible issue affecting trust or adoption.,There is a user-visible issue affecting trust or adoption.
PRJ-10-T03,PRJ-10,Proyecto,Pulse Creative,Commercial Image Pipeline,Camila Torres,Delivery,Media,Bloqueada,2026-07-14,No,Resolve priority issue in pilot or production,Align external dependency with client or vendor - Commercial Image Pipeline,"Waiting on client response, credentials, external API or business definition.","Waiting on client response, credentials, external API or business definition."
PRJ-10-T04,PRJ-10,Proyecto,Pulse Creative,Commercial Image Pipeline,Camila Torres,Delivery,Alta,En revision,2026-07-16,No,Plan next delivery iteration,Functional validation and release checklist - Commercial Image Pipeline,"Core build exists, but edge cases still need validation before closing the front.","Core build exists, but edge cases still need validation before closing the front."
PRJ-11-T01,PRJ-11,Proyecto,Civica Regional,Public Service Desk,Laura Gomez,Delivery,Alta,En progreso,2026-07-12,Si,,Plan next delivery iteration - Public Service Desk,Next iteration is being scoped with deliverables and owners.,Next iteration is being scoped with deliverables and owners.
PRJ-11-T02,PRJ-11,Proyecto,Civica Regional,Public Service Desk,Laura Gomez,Delivery,Critica,Por hacer,2026-07-10,Si,Functional validation and release checklist,Resolve priority issue in pilot or production - Public Service Desk,There is a user-visible issue affecting trust or adoption.,There is a user-visible issue affecting trust or adoption.
PRJ-11-T03,PRJ-11,Proyecto,Civica Regional,Public Service Desk,Laura Gomez,Delivery,Media,Bloqueada,2026-07-14,No,Resolve priority issue in pilot or production,Align external dependency with client or vendor - Public Service Desk,"Waiting on client response, credentials, external API or business definition.","Waiting on client response, credentials, external API or business definition."
PRJ-11-T04,PRJ-11,Proyecto,Civica Regional,Public Service Desk,Laura Gomez,Delivery,Alta,En revision,2026-07-16,No,Plan next delivery iteration,Functional validation and release checklist - Public Service Desk,"Core build exists, but edge cases still need validation before closing the front.","Core build exists, but edge cases still need validation before closing the front."
PRJ-12-T01,PRJ-12,Proyecto,Northfield Proteins,Plant Operations Automation,Mateo Ruiz,Delivery,Alta,En progreso,2026-07-12,Si,,Plan next delivery iteration - Plant Operations Automation,Next iteration is being scoped with deliverables and owners.,Next iteration is being scoped with deliverables and owners.
PRJ-12-T02,PRJ-12,Proyecto,Northfield Proteins,Plant Operations Automation,Mateo Ruiz,Delivery,Critica,Por hacer,2026-07-10,Si,Functional validation and release checklist,Resolve priority issue in pilot or production - Plant Operations Automation,There is a user-visible issue affecting trust or adoption.,There is a user-visible issue affecting trust or adoption.
PRJ-12-T03,PRJ-12,Proyecto,Northfield Proteins,Plant Operations Automation,Mateo Ruiz,Delivery,Media,Bloqueada,2026-07-14,No,Resolve priority issue in pilot or production,Align external dependency with client or vendor - Plant Operations Automation,"Waiting on client response, credentials, external API or business definition.","Waiting on client response, credentials, external API or business definition."
PRJ-12-T04,PRJ-12,Proyecto,Northfield Proteins,Plant Operations Automation,Mateo Ruiz,Delivery,Alta,En revision,2026-07-16,No,Plan next delivery iteration,Functional validation and release checklist - Plant Operations Automation,"Core build exists, but edge cases still need validation before closing the front.","Core build exists, but edge cases still need validation before closing the front."
PRJ-13-T01,PRJ-13,Diagnostico,HelioGrid Energy,Commercial Automation Discovery,Santiago Vera,Delivery,Alta,En progreso,2026-07-11,No,,Stakeholder mapping and scope - Commercial Automation Discovery,Interviews and dependency map are in progress.,Interviews and dependency map are in progress.
PRJ-13-T02,PRJ-13,Diagnostico,HelioGrid Energy,Commercial Automation Discovery,Santiago Vera,Delivery,Critica,Por hacer,2026-07-09,Si,Stakeholder mapping and scope,Audit current flow and breakpoints - Commercial Automation Discovery,"Current process timings, handoffs and failure points are still undocumented.","Current process timings, handoffs and failure points are still undocumented."
PRJ-13-T03,PRJ-13,Diagnostico,HelioGrid Energy,Commercial Automation Discovery,Santiago Vera,Delivery,Media,En revision,2026-07-15,No,Audit current flow and breakpoints,Define solution hypotheses and quick wins - Commercial Automation Discovery,First set of quick wins is drafted and waiting for validation.,First set of quick wins is drafted and waiting for validation.
PRJ-13-T04,PRJ-13,Diagnostico,HelioGrid Energy,Commercial Automation Discovery,Santiago Vera,Delivery,Alta,Bloqueada,2026-07-08,Si,Stakeholder mapping and scope,Get access to key data sources - Commercial Automation Discovery,"Blocked by permissions, repository access or owner confirmation.","Blocked by permissions, repository access or owner confirmation."
PRJ-14-T01,PRJ-14,Diagnostico,Orion Mobility,Vehicle Photography Platform,Mateo Ruiz,Delivery,Alta,En progreso,2026-07-11,No,,Stakeholder mapping and scope - Vehicle Photography Platform,Interviews and dependency map are in progress.,Interviews and dependency map are in progress.
PRJ-14-T02,PRJ-14,Diagnostico,Orion Mobility,Vehicle Photography Platform,Mateo Ruiz,Delivery,Critica,Por hacer,2026-07-09,Si,Stakeholder mapping and scope,Audit current flow and breakpoints - Vehicle Photography Platform,"Current process timings, handoffs and failure points are still undocumented.","Current process timings, handoffs and failure points are still undocumented."
PRJ-14-T03,PRJ-14,Diagnostico,Orion Mobility,Vehicle Photography Platform,Mateo Ruiz,Delivery,Media,En revision,2026-07-15,No,Audit current flow and breakpoints,Define solution hypotheses and quick wins - Vehicle Photography Platform,First set of quick wins is drafted and waiting for validation.,First set of quick wins is drafted and waiting for validation.
PRJ-14-T04,PRJ-14,Diagnostico,Orion Mobility,Vehicle Photography Platform,Mateo Ruiz,Delivery,Alta,Bloqueada,2026-07-08,Si,Stakeholder mapping and scope,Get access to key data sources - Vehicle Photography Platform,"Blocked by permissions, repository access or owner confirmation.","Blocked by permissions, repository access or owner confirmation."
PRJ-15-T01,PRJ-15,Diagnostico,Orion Mobility,Legal Documents Assistant,Laura Gomez,Delivery,Alta,En progreso,2026-07-11,No,,Stakeholder mapping and scope - Legal Documents Assistant,Interviews and dependency map are in progress.,Interviews and dependency map are in progress.
PRJ-15-T02,PRJ-15,Diagnostico,Orion Mobility,Legal Documents Assistant,Laura Gomez,Delivery,Critica,Por hacer,2026-07-09,Si,Stakeholder mapping and scope,Audit current flow and breakpoints - Legal Documents Assistant,"Current process timings, handoffs and failure points are still undocumented.","Current process timings, handoffs and failure points are still undocumented."
PRJ-15-T03,PRJ-15,Diagnostico,Orion Mobility,Legal Documents Assistant,Laura Gomez,Delivery,Media,En revision,2026-07-15,No,Audit current flow and breakpoints,Define solution hypotheses and quick wins - Legal Documents Assistant,First set of quick wins is drafted and waiting for validation.,First set of quick wins is drafted and waiting for validation.
PRJ-15-T04,PRJ-15,Diagnostico,Orion Mobility,Legal Documents Assistant,Laura Gomez,Delivery,Alta,Bloqueada,2026-07-08,Si,Stakeholder mapping and scope,Get access to key data sources - Legal Documents Assistant,"Blocked by permissions, repository access or owner confirmation.","Blocked by permissions, repository access or owner confirmation."
PRJ-16-T01,PRJ-16,Diagnostico,Orion Mobility,Lead Acquisition System,Mateo Ruiz,Delivery,Alta,En progreso,2026-07-11,No,,Stakeholder mapping and scope - Lead Acquisition System,Interviews and dependency map are in progress.,Interviews and dependency map are in progress.
PRJ-16-T02,PRJ-16,Diagnostico,Orion Mobility,Lead Acquisition System,Mateo Ruiz,Delivery,Critica,Por hacer,2026-07-09,Si,Stakeholder mapping and scope,Audit current flow and breakpoints - Lead Acquisition System,"Current process timings, handoffs and failure points are still undocumented.","Current process timings, handoffs and failure points are still undocumented."
PRJ-16-T03,PRJ-16,Diagnostico,Orion Mobility,Lead Acquisition System,Mateo Ruiz,Delivery,Media,En revision,2026-07-15,No,Audit current flow and breakpoints,Define solution hypotheses and quick wins - Lead Acquisition System,First set of quick wins is drafted and waiting for validation.,First set of quick wins is drafted and waiting for validation.
PRJ-16-T04,PRJ-16,Diagnostico,Orion Mobility,Lead Acquisition System,Mateo Ruiz,Delivery,Alta,Bloqueada,2026-07-08,Si,Stakeholder mapping and scope,Get access to key data sources - Lead Acquisition System,"Blocked by permissions, repository access or owner confirmation.","Blocked by permissions, repository access or owner confirmation."
PRJ-17-T01,PRJ-17,Mantenimiento o recurrente,Astera Ops,Billing Reconciliation Bot,Daniel Rojas,Commercial / Delivery,Media,En progreso,2026-08-14,No,,Iteracion en curso con entregables definidos - Billing Reconciliation Bot,"Scope acordado con el cliente, avance segun plan.","Scope acordado con el cliente, avance segun plan."
PRJ-17-T02,PRJ-17,Mantenimiento o recurrente,Astera Ops,Billing Reconciliation Bot,Daniel Rojas,Commercial / Delivery,Alta,Por hacer,2026-08-20,No,Iteracion en curso con entregables definidos,Validacion funcional del modulo - Billing Reconciliation Bot,Pendiente de arrancar cuando cierre la iteracion actual.,Pendiente de arrancar cuando cierre la iteracion actual.
PRJ-17-T03,PRJ-17,Mantenimiento o recurrente,Astera Ops,Billing Reconciliation Bot,Daniel Rojas,Commercial / Delivery,Baja,En revision,2026-08-25,No,Iteracion en curso con entregables definidos,Documentacion para operacion del cliente - Billing Reconciliation Bot,"Borrador listo, esperando revision del owner.","Borrador listo, esperando revision del owner."
PRJ-18-T01,PRJ-18,Proyecto,Andes Retail,Inventory Forecasting,Mateo Ruiz,Delivery,Media,En progreso,2026-08-14,No,,Iteracion en curso con entregables definidos - Inventory Forecasting,"Scope acordado con el cliente, avance segun plan.","Scope acordado con el cliente, avance segun plan."
PRJ-18-T02,PRJ-18,Proyecto,Andes Retail,Inventory Forecasting,Mateo Ruiz,Delivery,Alta,Por hacer,2026-08-20,No,Iteracion en curso con entregables definidos,Validacion funcional del modulo - Inventory Forecasting,Pendiente de arrancar cuando cierre la iteracion actual.,Pendiente de arrancar cuando cierre la iteracion actual.
PRJ-18-T03,PRJ-18,Proyecto,Andes Retail,Inventory Forecasting,Mateo Ruiz,Delivery,Baja,En revision,2026-08-25,No,Iteracion en curso con entregables definidos,Documentacion para operacion del cliente - Inventory Forecasting,"Borrador listo, esperando revision del owner.","Borrador listo, esperando revision del owner."
PRJ-18-T04,PRJ-18,Proyecto,Andes Retail,Inventory Forecasting,Mateo Ruiz,Delivery,Media,Por hacer,2026-09-02,No,Validacion funcional del modulo,Cierre de fase y handoff - Inventory Forecasting,Depende del cierre de la validacion funcional.,Depende del cierre de la validacion funcional.
PRJ-19-T01,PRJ-19,Proyecto,Meridian Legal,Contract Clause Extractor,Andrea Molina,Delivery,Media,En progreso,2026-08-14,No,,Iteracion en curso con entregables definidos - Contract Clause Extractor,"Scope acordado con el cliente, avance segun plan.","Scope acordado con el cliente, avance segun plan."
PRJ-19-T02,PRJ-19,Proyecto,Meridian Legal,Contract Clause Extractor,Andrea Molina,Delivery,Alta,Por hacer,2026-08-20,No,Iteracion en curso con entregables definidos,Validacion funcional del modulo - Contract Clause Extractor,Pendiente de arrancar cuando cierre la iteracion actual.,Pendiente de arrancar cuando cierre la iteracion actual.
PRJ-19-T03,PRJ-19,Proyecto,Meridian Legal,Contract Clause Extractor,Andrea Molina,Delivery,Baja,En revision,2026-08-25,No,Iteracion en curso con entregables definidos,Documentacion para operacion del cliente - Contract Clause Extractor,"Borrador listo, esperando revision del owner.","Borrador listo, esperando revision del owner."
PRJ-19-T04,PRJ-19,Proyecto,Meridian Legal,Contract Clause Extractor,Andrea Molina,Delivery,Media,Por hacer,2026-09-02,No,Validacion funcional del modulo,Cierre de fase y handoff - Contract Clause Extractor,Depende del cierre de la validacion funcional.,Depende del cierre de la validacion funcional.
PRJ-20-T01,PRJ-20,Mantenimiento o recurrente,Nova Recovery,Claims Status Notifier,Laura Gomez,Delivery,Media,En progreso,2026-08-14,No,,Iteracion en curso con entregables definidos - Claims Status Notifier,"Scope acordado con el cliente, avance segun plan.","Scope acordado con el cliente, avance segun plan."
PRJ-20-T02,PRJ-20,Mantenimiento o recurrente,Nova Recovery,Claims Status Notifier,Laura Gomez,Delivery,Alta,Por hacer,2026-08-20,No,Iteracion en curso con entregables definidos,Validacion funcional del modulo - Claims Status Notifier,Pendiente de arrancar cuando cierre la iteracion actual.,Pendiente de arrancar cuando cierre la iteracion actual.
PRJ-20-T03,PRJ-20,Mantenimiento o recurrente,Nova Recovery,Claims Status Notifier,Laura Gomez,Delivery,Baja,En revision,2026-08-25,No,Iteracion en curso con entregables definidos,Documentacion para operacion del cliente - Claims Status Notifier,"Borrador listo, esperando revision del owner.","Borrador listo, esperando revision del owner."
PRJ-22-T01,PRJ-22,Proyecto,Vector Partners,Messaging Qualification Engine (Fase 2),Camila Torres,Delivery,Alta,En progreso,2026-07-12,Si,,Plan next delivery iteration - Messaging Qualification Engine (Fase 2),Next iteration is being scoped with deliverables and owners.,Next iteration is being scoped with deliverables and owners.
PRJ-22-T02,PRJ-22,Proyecto,Vector Partners,Messaging Qualification Engine (Fase 2),Camila Torres,Delivery,Critica,Por hacer,2026-07-10,Si,Functional validation and release checklist,Resolve priority issue in pilot or production - Messaging Qualification Engine (Fase 2),There is a user-visible issue affecting trust or adoption.,There is a user-visible issue affecting trust or adoption.
PRJ-22-T03,PRJ-22,Proyecto,Vector Partners,Messaging Qualification Engine (Fase 2),Camila Torres,Delivery,Media,Bloqueada,2026-07-14,No,Resolve priority issue in pilot or production,Align external dependency with client or vendor - Messaging Qualification Engine (Fase 2),"Waiting on client response, credentials, external API or business definition.","Waiting on client response, credentials, external API or business definition."
PRJ-22-T04,PRJ-22,Proyecto,Vector Partners,Messaging Qualification Engine (Fase 2),Camila Torres,Delivery,Alta,En revision,2026-07-16,No,Plan next delivery iteration,Functional validation and release checklist - Messaging Qualification Engine (Fase 2),"Core build exists, but edge cases still need validation before closing the front.","Core build exists, but edge cases still need validation before closing the front."
